game,score,train_time,len_buff
642,651,9.5142,163948
643,630,9.076,167023
644,483,6.9125,169170
645,651,9.6436,172422
646,378,5.5576,174287
647,630,9.2456,177394
648,567,6.5155,179535
649,483,9.7938,182876
650,588,6.9009,185228
651,483,6.4082,187307
652,630,8.7429,190288
653,630,8.177,193084
654,294,3.7658,194230
655,378,7.2543,196618
656,630,11.611,200000
657,399,6.7357,200000
658,651,10.3562,200000
659,630,7.8635,200000
660,399,6.3667,200000
661,378,7.2003,200000
662,357,4.5133,200000
663,357,5.0716,200000
664,483,7.0834,200000
665,420,4.6343,200000
666,441,6.5534,200000
667,294,3.4738,200000
668,546,6.8291,200000
669,651,8.1627,200000
670,630,10.0135,200000
671,357,6.5956,200000
672,546,6.3132,200000
673,672,9.174,200000
674,399,7.5135,200000
